%time,field.header.seq,field.header.stamp,field.set_point,field.process_value,field.process_value_dot,field.process_value_filtered,field.process_value_dot_filtered,field.commanded_velocity,field.error,field.time_step,field.command,field.measured_effort,field.friction_compensation,field.position_p,field.position_i,field.position_d,field.position_i_clamp,field.velocity_p,field.velocity_i,field.velocity_d,field.velocity_i_clamp
1354210903369178164,3191,1354210903369178164,9.79717439318e-17,-0.0272936181436,-0.01724739188,-0.0273110032059,0.00517001034271,0.0,0.0273110032059,0.000982144,0.0,1.08349098792,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903379183532,3192,1354210903379183532,9.79717439318e-17,-0.0274886490635,-0.013349905866,-0.0274677960397,-0.0192594708011,0.0,0.0274677960397,0.000977135,0.0,1.13717738098,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903389193725,3193,1354210903389193725,9.79717439318e-17,-0.0275251508903,0.00275701837844,-0.0275117844933,-0.00362443045563,0.0,0.0275117844933,0.00099792,0.0,1.1455524536,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903399215169,3194,1354210903399215169,9.79717439318e-17,-0.0274920159267,0.0020596138672,-0.027470923015,0.00344655282328,0.0,0.027470923015,0.001005334,0.0,1.42063924273,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903409210300,3195,1354210903409210300,9.79717439318e-17,-0.0274502422818,-0.029540693538,-0.0274297563396,0.00426729597645,0.0,0.0274297563396,0.001012738,0.0,1.64944894817,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903419195731,3196,1354210903419195731,9.79717439318e-17,-0.0274715926212,-0.0137848894378,-0.027452706248,-0.00193034027662,0.0,0.027452706248,0.0009857,0.0,1.83260070986,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903429218237,3197,1354210903429218237,9.79717439318e-17,-0.0273474694021,0.0298042868155,-0.0273896778743,0.0125053278536,0.0,0.0273896778743,0.001013454,22.641168528,1.8252945574,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903439211059,3198,1354210903439211059,9.79717439318e-17,-0.0272549132678,0.0125638516733,-0.027286669196,0.00920300050283,0.0,0.027286669196,0.001013653,21.4028063536,1.67088791581,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903449212712,3199,1354210903449212712,9.79717439318e-17,-0.0272544716456,-0.01821729983,-0.0272546198747,0.00018383958622,0.0,0.0272546198747,0.001000688,0.0,1.54925572046,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903459177403,3200,1354210903459177403,9.79717439318e-17,-0.027189632281,-0.00416576634163,-0.0271780712026,0.00655008976189,0.0,0.0271780712026,0.000981954,20.3923423966,1.3722690137,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903469190565,3201,1354210903469190565,9.79717439318e-17,-0.0273087940242,-0.017124071311,-0.0272927363219,-0.0119844771405,0.0,0.0272927363219,0.00099587,0.0,1.23514463088,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903479184619,3202,1354210903479184619,9.79717439318e-17,-0.0272388832635,-0.00315315027974,-0.0272606009283,0.00698190984296,0.0,0.0272606009283,0.000977273,20.5932428527,1.19255047408,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903489174834,3203,1354210903489174834,9.79717439318e-17,-0.0272115504778,-0.00370316472919,-0.0272227049609,0.00268727773541,0.0,0.0272227049609,0.000968403,0.0,1.23030048862,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903499214032,3204,1354210903499214032,9.79717439318e-17,-0.0272581701487,-0.00276724636072,-0.0272649542959,-0.0046845417099,0.0,0.0272649542959,0.001002653,0.0,1.50254898307,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903509210943,3205,1354210903509210943,9.79717439318e-17,-0.0272033182582,0.0114736846204,-0.0272235656152,0.00562440123347,0.0,0.0272235656152,0.001013106,20.0863414537,1.44913521233,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903519201913,3206,1354210903519201913,9.79717439318e-17,-0.0273496601979,-0.0316837298505,-0.0273192974568,-0.0147047401212,0.0,0.0273192974568,0.000999757,0.0,1.36477905635,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903529212883,3207,1354210903529212883,9.79717439318e-17,-0.0273114503914,0.0136729783407,-0.0273426462938,0.00381524063411,0.0,0.0273426462938,0.001018005,0.0,1.18490071885,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903539210577,3208,1354210903539210577,9.79717439318e-17,-0.027343449792,-0.00103043241078,-0.0273260400529,-0.00342228215339,0.0,0.0273260400529,0.001014342,0.0,1.08213362558,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903549213183,3209,1354210903549213183,9.79717439318e-17,-0.0273539168645,-0.000831021090619,-0.027352132195,-0.00101327329994,0.0,0.027352132195,0.001002084,0.0,1.06724245215,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903559176608,3210,1354210903559176608,9.79717439318e-17,-0.0273845894314,0.0305171870585,-0.0274120645554,-0.00301328798896,0.0,0.0274120645554,0.000980571,0.0,0.982124955422,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903569177784,3211,1354210903569177784,9.79717439318e-17,-0.0273543260206,0.045245610175,-0.0274017163865,0.0031857417816,0.0,0.0274017163865,0.000968125,0.0,0.985365427635,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903579216763,3212,1354210903579216763,9.79717439318e-17,-0.0274210002056,-0.0302998873129,-0.0273899782675,-0.00659859708151,0.0,0.0273899782675,0.001006604,0.0,1.06021412131,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903589177830,3213,1354210903589177830,9.79717439318e-17,-0.02739182002,-0.000138922604846,-0.0273729920184,0.00287331489994,0.0,0.0273729920184,0.000999853,0.0,1.04933678892,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903599212957,3214,1354210903599212957,9.79717439318e-17,-0.0274287858747,-0.0147547185736,-0.0274360502754,-0.00378961483874,0.0,0.0274360502754,0.001002726,0.0,1.04036602,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903609216608,3215,1354210903609216608,9.79717439318e-17,-0.0275172031076,0.0177771203699,-0.0275257074412,-0.00882910790824,0.0,0.0275257074412,0.001012871,0.0,1.03772474315,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903619196027,3216,1354210903619196027,9.79717439318e-17,-0.0275658404311,-0.0273643342318,-0.0275505301083,-0.00487020730514,0.0,0.0275505301083,0.001000522,0.0,1.10480007934,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903629198346,3217,1354210903629198346,9.79717439318e-17,-0.0275670757197,-0.0119751918638,-0.0275487405662,-8.23796919525e-05,0.0,0.0275487405662,0.000998462,0.0,1.08579283633,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903639184313,3218,1354210903639184313,9.79717439318e-17,-0.0275298433018,-0.0434643358208,-0.0274941795337,0.00369624894218,0.0,0.0274941795337,0.000999823,0.0,1.03132357704,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903649188049,3219,1354210903649188049,9.79717439318e-17,-0.0273932911871,0.0306556733196,-0.027436832485,0.0137467530598,0.0,0.027436832485,0.000989929,23.1109186468,1.02564399102,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903659166695,3220,1354210903659166695,9.79717439318e-17,-0.0274180514563,0.000411307072221,-0.0274282712114,-0.00248412514966,0.0,0.0274282712114,0.000982277,0.0,1.05597419815,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903669167849,3221,1354210903669167849,9.79717439318e-17,-0.0273894734995,-0.00013990096461,-0.0273672402793,0.00267890793947,0.0,0.0273672402793,0.000969338,0.0,1.19415019452,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903679188225,3222,1354210903679188225,9.79717439318e-17,-0.0273274969487,-0.0321464837488,-0.0273084117319,0.0062228215523,0.0,0.0273084117319,0.001003436,20.3482427927,1.48779806554,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903689180952,3223,1354210903689180952,9.79717439318e-17,-0.0273038716855,0.0134892546377,-0.0272904446333,0.00240989049751,0.0,0.0272904446333,0.000983861,0.0,1.46948256427,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903699189686,3224,1354210903699189686,9.79717439318e-17,-0.0273505197021,-0.0163255744376,-0.0273390666206,-0.00461138176739,0.0,0.0273390666206,0.000988795,0.0,1.45445725864,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903709184597,3225,1354210903709184597,9.79717439318e-17,-0.0273909244812,-0.0308641081082,-0.0273498596924,-0.00411376168269,0.0,0.0273498596924,0.00099965,0.0,1.32936726805,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903719183831,3226,1354210903719183831,9.79717439318e-17,-0.0273262556845,0.0293174164875,-0.0273424326629,0.00655390270675,0.0,0.0273424326629,0.000998434,20.4858814857,1.37569792186,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903729196722,3227,1354210903729196722,9.79717439318e-17,-0.0273172486977,0.0137607508182,-0.0272982409617,0.000900102618848,0.0,0.0272982409617,0.000998964,0.0,1.34375222835,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903739185076,3228,1354210903739185076,9.79717439318e-17,-0.0272791412277,-0.00238760408712,-0.0272711612625,0.00385017480148,0.0,0.0272711612625,0.001002864,0.0,1.31921064341,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903749194479,3229,1354210903749194479,9.79717439318e-17,-0.0272846185588,-0.00227667839861,-0.0272925649314,-0.000589535859552,0.0,0.0272925649314,0.001010044,0.0,1.26130026891,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903759166742,3230,1354210903759166742,9.79717439318e-17,-0.027372939343,0.0148560046403,-0.0273750735137,-0.00866670489904,0.0,0.0273750735137,0.000982618,0.0,1.14140021974,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903769166642,3231,1354210903769166642,9.79717439318e-17,-0.0273617383526,0.0146377168153,-0.0273819537089,0.0010670364455,0.0,0.0273819537089,0.000967646,0.0,1.15436240013,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903779187611,3232,1354210903779187611,9.79717439318e-17,-0.0273277156332,-0.00142856467556,-0.0273371814475,0.00337898733109,0.0,0.0273371814475,0.001002823,0.0,1.16233610874,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
